id,name,email,role,level,assignedRegion,jurisdiction,designation,departmentId,parentId,contactNumber,officeAddress,createdAt,updatedAt,isActive,blockJurisdiction,panchayatArea,wardNumber,specialization,fieldArea,panchayatDetails,gramSabhaArea,villageCount,panchayatWorkers,panchayatOfficers
cm7258ysn000bu64gdo7360j2,Kavita Singh,kavita.singh.xadm@up.gov.in,ADMINISTRATOR,TOP,Kanpur Nagar,Kanpur Nagar District,Administrator,,,9876543221,Kanpur Nagar Administrator Office,2025-02-12 16:47:15.239,2025-02-12 16:48:39.724,true,,,,,,,,,,
cm7258yt1000cu64g55ie02pk,Ravi Shankar,ravi.shankar.xdep@up.gov.in,DEPARTMENT_HEAD,MID,Lucknow,Lucknow District,Health Department Head,,cm7258zo8002ou64g8c7dmdjq,9876543222,Lucknow Health Department Office,2025-02-12 16:47:15.253,2025-02-12 16:48:40.346,true,,,,,,,,,,
cm7258ytg000du64gmuepzqv6,Pooja Gupta,pooja.gupta.xdep@up.gov.in,DEPARTMENT_HEAD,MID,Kanpur Nagar,Kanpur Nagar District,Education Department Head,,cm7258zo8002ou64g8c7dmdjq,9876543223,Kanpur Nagar Education Department Office,2025-02-12 16:47:15.269,2025-02-12 16:48:40.359,true,,,,,,,,,,
cm7258ytw000eu64gvxpr9zpi,Sanjay Kumar,sanjay.kumar.xblo@up.gov.in,BLOCK_OFFICER,MID,Lucknow,Lucknow District,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543224,Lucknow Block Office,2025-02-12 16:47:15.284,2025-02-12 16:48:39.884,true,Lucknow Block,,,,,,,,,
cm7258yu6000fu64gy879ynr8,Anjali Sharma,anjali.sharma.xnag@up.gov.in,NAGAR_SEVAK,OPERATIONAL,Lucknow,Lucknow District,Nagar Sevak,,cm7258ypg0004u64gzugfyzhg,9876543225,Lucknow Ward 5 Office,2025-02-12 16:47:15.294,2025-02-12 16:48:41.541,true,,,5,,,,,,,
cm7258yuf000gu64gokr3oqbz,Vivek Singh,vivek.singh.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Lucknow,Lucknow District,Panchayat Officer,,,9876543226,Lucknow Panchayat Office,2025-02-12 16:47:15.304,2025-02-12 16:47:15.304,true,,Lucknow Panchayat,,,,,,,,
cm7258yv2000hu64gn3wr8gf5,Rekha Yadav,rekha.yadav.xdep@up.gov.in,DEPARTMENT_OFFICER,OPERATIONAL,Lucknow,Lucknow District,Health Officer,,cm7258zgp0024u64gtr92nqf5,9876543227,Lucknow Health Department Office,2025-02-12 16:47:15.326,2025-02-12 16:48:41.098,true,,,,Health,,,,,,
cm7258yvf000iu64g4oudxv9w,Manoj Tiwari,manoj.tiwari.xfie@up.gov.in,FIELD_WORKER,OPERATIONAL,Lucknow,Lucknow District,Field Worker,,cm7258zly002iu64gk8rwlsk3,9876543228,Lucknow Field Office,2025-02-12 16:47:15.339,2025-02-12 16:48:41.447,true,,,,,Field Area,,,,,
cm7258yvs000ju64g3zejfyij,Anil Kumar,anil.kumar.xdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Lucknow,Lucknow District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,9876543210,Lucknow DM Office,2025-02-12 16:47:15.352,2025-02-12 16:48:41.347,true,,,,,,,,,,
cm7258yw6000ku64gx85l82pr,Sanjay Verma,sanjay.verma.xcom@up.gov.in,COMMISSIONER,TOP,Lucknow,Lucknow Division,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543211,Lucknow Commissioner's Office,2025-02-12 16:47:15.365,2025-02-12 16:48:40.182,true,,,,,,,,,,
cm7258ywk000lu64gtxmxue9p,Rajesh Sharma,rajesh.sharma.xadm@up.gov.in,ADMINISTRATOR,TOP,Agra,Uttar Pradesh,Administrator,,,9876543217,Agra Admin Office,2025-02-12 16:47:15.38,2025-02-12 16:48:39.751,true,,,,,,,,,,
cm7258ywz000mu64go8bh7nkk,Meera Kapoor,meera.kapoor.xdep@up.gov.in,DEPARTMENT_HEAD,MID,Lucknow,Lucknow Health Department,Health Department Head,,cm7258zo8002ou64g8c7dmdjq,9876543213,Lucknow Health Dept. Office,2025-02-12 16:47:15.395,2025-02-12 16:48:40.379,true,,,,Health,,,,,,
cm7258yxc000nu64ge65iah8n,Amit Tandon,amit.tandon.xdep@up.gov.in,DEPARTMENT_HEAD,MID,Lucknow,Lucknow PWD,Public Works Head,,cm7258zo8002ou64g8c7dmdjq,9876543214,Lucknow PWD Office,2025-02-12 16:47:15.408,2025-02-12 16:48:40.395,true,,,,Public Works,,,,,,
cm7258yxw000ou64gtydk08ou,Rajiv Sinha,rajiv.sinha.xblo@up.gov.in,BLOCK_OFFICER,MID,Lucknow,Lucknow Block A,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543229,Lucknow Block Office,2025-02-12 16:47:15.428,2025-02-12 16:48:39.894,true,Lucknow Block A,,,,,,,,,
cm7258yya000pu64g5ux9k0hr,Priyanka Mehta,priyanka.mehta.xcit@up.gov.in,CITIZEN,OPERATIONAL,Lucknow,Lucknow District,Citizen,,cm7258zox002qu64gdgma3m19,9876543230,Lucknow Resident,2025-02-12 16:47:15.442,2025-02-12 16:48:40.132,true,,,,,,,,,,
cm7258yyp000qu64g55afll1n,Suresh Yadav,suresh.yadav.xdep@up.gov.in,DEPARTMENT_OFFICER,MID,Ghazipur,Ghazipur District,Agriculture Department Officer,,cm7258zgp0024u64gtr92nqf5,9876543319,Ghazipur Agriculture Dept,2025-02-12 16:47:15.457,2025-02-12 16:48:41.112,true,,,Ghazipur,,Agriculture,,,,,
cm7258yz2000ru64gjvx1znwz,Rahul Verma,rahul.verma.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Kanpur,Kanpur District,Panchayat Officer,,,9876543201,Kanpur Panchayat Office,2025-02-12 16:47:15.47,2025-02-12 16:47:15.47,true,,Kanpur Panchayat,,,,,,,,
cm7258yzf000su64gmbrwqf7w,Sonia Gupta,sonia.gupta.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Agra,Agra District,Panchayat Officer,,,9876543202,Agra Panchayat Office,2025-02-12 16:47:15.483,2025-02-12 16:47:15.483,true,,Agra Panchayat,,,,,,,,
cm7258yzr000tu64g3yx50b85,Amit Tiwari,amit.tiwari.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Varanasi,Varanasi District,Panchayat Officer,,,9876543203,Varanasi Panchayat Office,2025-02-12 16:47:15.495,2025-02-12 16:47:15.495,true,,Varanasi Panchayat,,,,,,,,
cm7258z08000uu64gx9bpo0rx,Neha Sharma,neha.sharma.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Lucknow,Lucknow District,Panchayat Officer,,,9876543204,Lucknow Panchayat Office,2025-02-12 16:47:15.512,2025-02-12 16:47:15.512,true,,Lucknow Panchayat,,,,,,,,
cm7258z0k000vu64g4l81te1q,Vikas Dubey,vikas.dubey.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Meerut,Meerut District,Panchayat Officer,,,9876543205,Meerut Panchayat Office,2025-02-12 16:47:15.524,2025-02-12 16:47:15.524,true,,Meerut Panchayat,,,,,,,,
cm7258z0x000wu64gn8hslnfk,Deepak Yadav,deepak.yadav.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Gorakhpur,Gorakhpur District,Gram Panchayat Officer,,cm7258zjf002cu64gpy3s9ks2,9876543206,Gorakhpur Gram Panchayat Office,2025-02-12 16:47:15.537,2025-02-12 16:48:41.657,true,,,6,,,,,,,
cm7258z1b000xu64gthdls1dt,Anjali Mishra,anjali.mishra.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Faizabad,Faizabad District,Gram Panchayat Officer,,cm7258zjf002cu64gpy3s9ks2,9876543207,Faizabad Gram Panchayat Office,2025-02-12 16:47:15.551,2025-02-12 16:48:41.675,true,,,7,,,,,,,
cm7258z1p000yu64gx9zsyafm,Rajat Singh,rajat.singh.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Aligarh,Aligarh District,Gram Panchayat Officer,,cm7258zjf002cu64gpy3s9ks2,9876543208,Aligarh Gram Panchayat Office,2025-02-12 16:47:15.565,2025-02-12 16:48:41.686,true,,,8,,,,,,,
cm7258z23000zu64gfjpeo8so,Simran Kaur,simran.kaur.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Mathura,Mathura District,Gram Panchayat Officer,,cm7258zjf002cu64gpy3s9ks2,9876543209,Mathura Gram Panchayat Office,2025-02-12 16:47:15.579,2025-02-12 16:48:41.703,true,,,9,,,,,,,
cm7258z2q0010u64giyzrta48,Vivek Trivedi,vivek.trivedi.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Bareilly,Bareilly District,Gram Panchayat Officer,,cm7258zjf002cu64gpy3s9ks2,9876543210,Bareilly Gram Panchayat Office,2025-02-12 16:47:15.602,2025-02-12 16:48:41.718,true,,,10,,,,,,,
cm7258z310011u64gwz91b2dg,Manish Thakur,manish.thakur.xblo@up.gov.in,BLOCK_OFFICER,MID,Varanasi,Varanasi Block,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543211,Varanasi Block Office,2025-02-12 16:47:15.614,2025-02-12 16:48:39.913,true,Varanasi Block,,,,,,,,,
cm7258z3g0012u64g3aoh6ame,Poonam Dixit,poonam.dixit.xblo@up.gov.in,BLOCK_OFFICER,MID,Kanpur,Kanpur Block,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543212,Kanpur Block Office,2025-02-12 16:47:15.628,2025-02-12 16:48:39.938,true,Kanpur Block,,,,,,,,,
cm7258z3u0013u64g31wlpimb,Rahul Saxena,rahul.saxena.xblo@up.gov.in,BLOCK_OFFICER,MID,Agra,Agra Block,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543213,Agra Block Office,2025-02-12 16:47:15.642,2025-02-12 16:48:39.972,true,Agra Block,,,,,,,,,
cm7258z440014u64g279wysjb,Pallavi Yadav,pallavi.yadav.xblo@up.gov.in,BLOCK_OFFICER,MID,Lucknow,Lucknow Block,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543214,Lucknow Block Office,2025-02-12 16:47:15.653,2025-02-12 16:48:39.989,true,Lucknow Block,,,,,,,,,
cm7258z4i0015u64got7c6l5n,Rajat Kapoor,rajat.kapoor.xblo@up.gov.in,BLOCK_OFFICER,MID,Meerut,Meerut Block,Block Officer,,cm7258zdg001uu64gd1zi1di2,9876543215,Meerut Block Office,2025-02-12 16:47:15.666,2025-02-12 16:48:40,true,Meerut Block,,,,,,,,,
cm7258z520016u64gtwsuudot,Arun Mehta,arun.mehta.xcom@up.gov.in,COMMISSIONER,TOP,Lucknow,Uttar Pradesh,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543216,Lucknow Commissioner Office,2025-02-12 16:47:15.686,2025-02-12 16:48:40.197,true,,,,,,,,,,
cm7258z5t0018u64gzut4aqty,Rajesh Verma,rajesh.verma.xcom@up.gov.in,COMMISSIONER,TOP,Lucknow,Uttar Pradesh,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543301,Lucknow Headquarters,2025-02-12 16:47:15.713,2025-02-12 16:48:40.209,true,,,,,,,,,,
cm7258z660019u64g0sqhd204,Neha Srivastava,neha.srivastava.xadm@up.gov.in,ADMINISTRATOR,TOP,Kanpur,Uttar Pradesh,State Administrator,,,9876543302,Kanpur State Office,2025-02-12 16:47:15.726,2025-02-12 16:48:39.768,true,,,,,,,,,,
cm7258z6i001au64gdo8csp2o,Amit Khanna,amit.khanna.xdep@up.gov.in,DEPARTMENT_OFFICER,MID,Varanasi,Varanasi District,Health Department Officer,,cm7258zgp0024u64gtr92nqf5,9876543303,Varanasi Health Dept,2025-02-12 16:47:15.738,2025-02-12 16:48:41.125,true,,,Varanasi,,Health,,,,,
cm7258z6q001bu64gvjn18ge6,Suman Gupta,suman.gupta.xblo@up.gov.in,BLOCK_OFFICER,MID,Prayagraj,Prayagraj District,Block Development Officer,,cm7258zdg001uu64gd1zi1di2,9876543304,Prayagraj Block Office,2025-02-12 16:47:15.747,2025-02-12 16:48:40.028,true,Prayagraj Block,,,,,,,,,
cm7258z71001cu64g89t9qj06,Pankaj Dubey,pankaj.dubey.xnag@up.gov.in,NAGAR_SEVAK,OPERATIONAL,Gorakhpur,Gorakhpur Municipality,Nagar Sevak,,cm7258ypg0004u64gzugfyzhg,9876543305,Gorakhpur Nagar Office,2025-02-12 16:47:15.757,2025-02-12 16:48:41.555,true,,,7,,,,,,,
cm7258z7d001du64goov4fpk7,Ravi Tandon,ravi.tandon.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Agra,Agra District,Panchayat Officer,,,9876543306,Agra Panchayat Office,2025-02-12 16:47:15.769,2025-02-12 16:47:15.769,true,,Agra Panchayat,,,,,,,,
cm7258z7p001eu64g8limxdtl,Kavita Sharma,kavita.sharma.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Bareilly,Bareilly District,Gram Panchayat Head,,cm7258zjf002cu64gpy3s9ks2,9876543307,Bareilly Gram Office,2025-02-12 16:47:15.781,2025-02-12 16:48:41.737,true,,Bareilly Panchayat,,,Rural Development,,,,,
cm7258z81001fu64gajrsz126,Suraj Mishra,suraj.mishra.xfie@up.gov.in,FIELD_WORKER,OPERATIONAL,Meerut,Meerut District,Field Worker,,cm7258zly002iu64gk8rwlsk3,9876543308,Meerut Field Office,2025-02-12 16:47:15.793,2025-02-12 16:48:41.458,true,,,,,Sanitation,,,,,
cm7258z8h001gu64ggx3dp5oe,Reena Yadav,reena.yadav.xcom@up.gov.in,COMMISSIONER,TOP,Ghaziabad,Uttar Pradesh,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543309,Ghaziabad Commissioner Office,2025-02-12 16:47:15.809,2025-02-12 16:48:40.223,true,,,,,,,,,,
cm7258z8q001hu64gghpn406l,Ajay Pratap,ajay.pratap.xadm@up.gov.in,ADMINISTRATOR,TOP,Aligarh,Uttar Pradesh,State Administrator,,,9876543310,Aligarh Admin Office,2025-02-12 16:47:15.819,2025-02-12 16:48:39.787,true,,,,,,,,,,
cm7258z92001iu64ggbjdity7,Sunita Mehra,sunita.mehra.xdep@up.gov.in,DEPARTMENT_OFFICER,MID,Jhansi,Jhansi District,Education Department Officer,,cm7258zgp0024u64gtr92nqf5,9876543311,Jhansi Education Dept,2025-02-12 16:47:15.83,2025-02-12 16:48:41.136,true,,,Jhansi,,Education,,,,,
cm7258z9e001ju64gxtealiw7,Vishal Trivedi,vishal.trivedi.xblo@up.gov.in,BLOCK_OFFICER,MID,Ayodhya,Ayodhya District,Block Development Officer,,cm7258zdg001uu64gd1zi1di2,9876543312,Ayodhya Block Office,2025-02-12 16:47:15.842,2025-02-12 16:48:40.042,true,Ayodhya Block,,,,,,,,,
cm7258z9o001ku64gs4438qxs,Priya Chauhan,priya.chauhan.xnag@up.gov.in,NAGAR_SEVAK,OPERATIONAL,Mathura,Mathura Municipality,Nagar Sevak,,cm7258ypg0004u64gzugfyzhg,9876543313,Mathura Nagar Office,2025-02-12 16:47:15.853,2025-02-12 16:48:41.565,true,,,4,,,,,,,
cm7258z9z001lu64gjkrsyjvl,Ankit Shukla,ankit.shukla.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Saharanpur,Saharanpur District,Panchayat Officer,,,9876543314,Saharanpur Panchayat Office,2025-02-12 16:47:15.863,2025-02-12 16:47:15.863,true,,Saharanpur Panchayat,,,,,,,,
cm7258zaa001mu64g4cexdxm1,Alok Singh,alok.singh.xgra@up.gov.in,GRAM_PANCHAYAT,OPERATIONAL,Gonda,Gonda District,Gram Panchayat Head,,cm7258zjf002cu64gpy3s9ks2,9876543315,Gonda Gram Office,2025-02-12 16:47:15.874,2025-02-12 16:48:41.753,true,,Gonda Panchayat,,,Rural Infrastructure,,,,,
cm7258zat001nu64gugw3ce4j,Meena Tiwari,meena.tiwari.xfie@up.gov.in,FIELD_WORKER,OPERATIONAL,Moradabad,Moradabad District,Field Worker,,cm7258zly002iu64gk8rwlsk3,9876543316,Moradabad Field Office,2025-02-12 16:47:15.893,2025-02-12 16:48:41.477,true,,,,,Hygiene & Water Supply,,,,,
cm7258zb7001ou64g6d5vsjku,Dinesh Patel,dinesh.patel.xcom@up.gov.in,COMMISSIONER,TOP,Fatehpur,Uttar Pradesh,Commissioner,,cm7258znu002nu64g1dw30r0g,9876543317,Fatehpur Commissioner Office,2025-02-12 16:47:15.907,2025-02-12 16:48:40.236,true,,,,,,,,,,
cm7258zbm001pu64go3n1effd,Seema Rani,seema.rani.xadm@up.gov.in,ADMINISTRATOR,TOP,Faizabad,Uttar Pradesh,State Administrator,,,9876543318,Faizabad Admin Office,2025-02-12 16:47:15.922,2025-02-12 16:48:39.804,true,,,,,,,,,,
cm7258zcb001ru64guss3po9y,Deepak Pandey,deepak.pandey.xblo@up.gov.in,BLOCK_OFFICER,MID,Sitapur,Sitapur District,Block Development Officer,,cm7258zdg001uu64gd1zi1di2,9876543320,Sitapur Block Office,2025-02-12 16:47:15.947,2025-02-12 16:48:40.056,true,Sitapur Block,,,,,,,,,
cm7258zcl001su64g4igmvnsa,Pooja Saxena,pooja.saxena.xnag@up.gov.in,NAGAR_SEVAK,OPERATIONAL,Shahjahanpur,Shahjahanpur Municipality,Nagar Sevak,,cm7258ypg0004u64gzugfyzhg,9876543321,Shahjahanpur Nagar Office,2025-02-12 16:47:15.957,2025-02-12 16:48:41.581,true,,,6,,,,,,,
cm7258zcx001tu64g6si75dwm,Kiran Sharma,kiran.sharma.xpan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Basti,Basti District,Panchayat Officer,,,9876543322,Basti Panchayat Office,2025-02-12 16:47:15.969,2025-02-12 16:47:15.969,true,,Basti Panchayat,,,,,,,,
cm7258zdg001uu64gd1zi1di2,Suhas L Y,suhas.l.y.tdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Gautam Buddha Nagar,Gautam Buddha Nagar District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,0120-2560199,"District Collectorate, Surajpur, Greater Noida",2025-02-12 16:47:15.988,2025-02-12 16:48:41.36,true,,,,,,,,,,
cm7258zdr001vu64g6ep0cwiw,Indra Vikram Singh,indra.vikram.singh.tdis@up.gov.in,DISTRICT_MAGISTRATE,TOP,Lucknow,Lucknow District,District Magistrate,,cm7258zo8002ou64g8c7dmdjq,0522-2628469,"Collector Office, 1st Floor, Vikas Bhawan, Lucknow",2025-02-12 16:47:15.999,2025-02-12 16:48:41.372,true,,,,,,,,,,
cm7258ze0001wu64gufm08bs7,Ravindra Kumar,ravindra.kumar.tcom@up.gov.in,COMMISSIONER,TOP,Lucknow Division,"Lucknow, Hardoi, Unnao, Rae Bareli, Sitapur",Divisional Commissioner,,cm7258znu002nu64g1dw30r0g,0522-2238598,"Commissioner Office, 5 Park Road, Lucknow",2025-02-12 16:47:16.008,2025-02-12 16:48:40.254,true,,,,,,,,,,
cm7258zed001xu64gdtrzfr9q,Anil Kumar Singh,anil.kumar.singh.mblo@up.gov.in,BLOCK_OFFICER,MID,Chinhat Block,Chinhat Development Block,Block Development Officer,,cm7258zdg001uu64gd1zi1di2,0522-2657841,"Block Office, Chinhat, Lucknow",2025-02-12 16:47:16.021,2025-02-12 16:48:40.069,true,Chinhat Block,,,,,,,,,
cm7258zeq001yu64g4pnv4m8y,Rajesh Kumar,rajesh.kumar.opan@up.gov.in,PANCHAYAT_OFFICER,OPERATIONAL,Sarojini Nagar,Sarojini Nagar Panchayat,Gram Panchayat Officer,,,0522-2657890,"Panchayat Bhawan, Sarojini Nagar",2025-02-12 16:47:16.034,2025-02-12 16:47:16.034,true,,Sarojini Nagar,,,,"{""mainOccupation"":""Agriculture"",""totalPopulation"":25000}",Sarojini Nagar Area,12,"{""categories"":[""MGNREGA"",""Health"",""Education""],""totalWorkers"":15}","{""secretary"":""Ram Kumar"",""assistants"":3}"
cm7258zf0001zu64ge6lvt7cr,Amit Pal Sharma,amit.pal.sharma.mnag@up.gov.in,NAGAR_SEVAK,MID,Gomti Nagar,Gomti Nagar Zone,Municipal Corporator,,cm7258ypg0004u64gzugfyzhg,0522-2395467,"Municipal Office, Gomti Nagar, Lucknow",2025-02-12 16:47:16.045,2025-02-12 16:48:41.599,true,,,Ward 56,Urban Development,,,,,,
cm7258zfi0020u64gon572x6a,Dr. Rakesh Verma,dr.rakesh.verma.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,State Health Services,Director General Health Services,,cm7258zo8002ou64g8c7dmdjq,0522-2287327,"Swasthya Bhawan, Lucknow",2025-02-12 16:47:16.062,2025-02-12 16:48:40.405,true,,,,Public Health Administration,,,,,,
cm7258zfs0021u64guja3qp7p,Vijay Kiran Anand,vijay.kiran.anand.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,State Education Department,Director of Education,,cm7258zo8002ou64g8c7dmdjq,0522-2238329,"Directorate of Education, Nishatganj, Lucknow",2025-02-12 16:47:16.072,2025-02-12 16:48:40.422,true,,,,Education Administration,,,,,,
cm7258zg30022u64gofo25uof,Manoj Kumar Singh,manoj.kumar.singh.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,State Agriculture Department,Director of Agriculture,,cm7258zo8002ou64g8c7dmdjq,0522-2623175,"Krishi Bhawan, Lucknow",2025-02-12 16:47:16.083,2025-02-12 16:48:40.437,true,,,,Agricultural Development,,,,,,
cm7258zgd0023u64ghmpek1vu,S.V.S. Ranga Rao,svs.ranga.rao.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,Public Works Department,Engineer-in-Chief PWD,,cm7258zo8002ou64g8c7dmdjq,0522-2236496,"PWD Headquarters, Lucknow",2025-02-12 16:47:16.094,2025-02-12 16:48:40.448,true,,,,Infrastructure Development,,,,,,
cm7258zgp0024u64gtr92nqf5,Aparna U,aparna.u.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,Rural Development Department,Director Rural Development,,cm7258zo8002ou64g8c7dmdjq,0522-2287796,"Vikas Bhawan, Lucknow",2025-02-12 16:47:16.105,2025-02-12 16:48:40.461,true,,,,Rural Development,,,,,,
cm7258zh10025u64gyp9w5si4,Dr. Roshan Jacob,dr.roshan.jacob.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,Industries Department,Director of Industries,,cm7258zo8002ou64g8c7dmdjq,0522-2238902,"Udyog Bandhu, Lucknow",2025-02-12 16:47:16.117,2025-02-12 16:48:40.471,true,,,,Industrial Development,,,,,,
cm7258zhb0026u64g7thba04h,Rajesh Kumar Tyagi,rajesh.kumar.tyagi.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,Transport Department,Transport Commissioner,,cm7258zo8002ou64g8c7dmdjq,0522-2613978,"Transport Commissionerate, Lucknow",2025-02-12 16:47:16.127,2025-02-12 16:48:40.483,true,,,,Transport Management,,,,,,
cm7258zhn0027u64gnbo3i4r9,Parthasarathy Sen Sharma,parthasarathy.sen.sharma.mdep@up.gov.in,DEPARTMENT_HEAD,MID,Uttar Pradesh,Urban Development Department,Director Urban Development,,cm7258zo8002ou64g8c7dmdjq,0522-2286103,"Nagar Vikas Bhawan, Lucknow",2025-02-12 16:47:16.139,2025-02-12 16:48:40.493,true,,,,Urban Planning,,,,,,
